,Title,published_date,Views,Likes,Comments
129,Internship PPO Revoked😓Backup Preparation | Cure.Fit Interview Experience 👨🏻‍💻Ft. @Nishant Chahar 👈,2020-12-26T08:12:07Z,4319,232,19
130,Data Engineer Complete Roadmap 🔥 For Beginners With Resources | Best Skill Sets & Frameworks 🔥,2020-12-23T08:20:57Z,90735,4345,223
131,How Did He Crack Interviews Without DSA & CP ? IXIGO Interview | Skipped On Campus Drives | Freshers,2020-12-19T08:37:06Z,15092,834,71
132,Start With Programming - Simple Steps | Language | DSA | Competitive Programming | No Shortcuts 🔥,2020-12-16T08:17:46Z,4313,316,64
133,"Amazon OR PayPal ?? Complete Interview Process 👈🔴How to manage time for CP, Core CS & Projects ??🤔🤔",2020-12-12T08:01:11Z,5338,262,30
134,GIVEAWAY - Chill Wali LiveStream | Ask Me Anything 🤪🤪,2020-12-10T06:36:52Z,2125,93,9
135,He Quit Competitive Programming ?? GoJek Interview Experience | How to apply by COLD Mailing??,2020-12-05T07:27:51Z,9655,483,70
136,Failure To Success | Service To Product | Failures -- Hustle -- Struggles -- Achieved | Your Turn???,2020-11-28T07:21:15Z,32001,2291,126
137,Why Did I Copy-Paste Semester Projects??😓Importance Of Project Based Learnings | Best Dev Platform🤟,2020-11-25T07:10:00Z,8582,287,40
138,Non CS Hired by VISA | Code UR Way Challenge | Prizes Worth 2.5 Lakhs | Roadmap For Non CS Students🔥,2020-11-21T07:09:53Z,4656,263,34
139,"₹ 100,000 From GeeksForGeeks 🤑🤑 How Did i Learn & Earn ?? Earnings In College | Content Writing 💵💵💵💵",2020-11-18T09:20:06Z,10208,428,53
140,JPMorgan Chase (United Kingdom) Interview Experience | Multiple Rejections | GSoC | Hackathons 🔥,2020-11-15T09:43:43Z,8576,444,43
141,UNBOXING Amazon Day-1 Goodies 🥳🥳 Turu Lob Wali Feeling 😍😍 Things You Get On Joining Day 🤟🤟Emotions 😊,2020-11-11T06:57:45Z,20599,494,101
142,"SDE-1 Interview Experience | Not from IIT, NIT | Offers From Arcesium, JusPay 🔥 Ft. @Riddhi Dutta",2020-11-07T08:18:35Z,49768,2025,124
143,Data Engineer-1 Interview Experience | In Covid Times | Bar Raiser 🔥,2020-11-04T08:12:10Z,59215,1135,91
144,Paytm Interview Experience | Web Development |  Competitive Programming ?? Campus Placements ??🔥,2020-10-31T07:59:56Z,11193,446,35
145,McKinsey & Company - Data Engineer Interview Experience | Experienced | Must Watch 🔥Important Topics,2020-10-28T14:05:15Z,16271,405,50
